Bin Center (m), Drop Count (#/m³)
     0.00000102  , 0.25358127E+01
     0.00000107  , 0.30888127E+01
     0.00000112  , 0.37568717E+01
     0.00000117  , 0.45626961E+01
     0.00000123  , 0.55332096E+01
     0.00000129  , 0.67002821E+01
     0.00000135  , 0.81015748E+01
     0.00000141  , 0.97815167E+01
     0.00000148  , 0.11792431E+02
     0.00000155  , 0.14195833E+02
     0.00000162  , 0.17063921E+02
     0.00000170  , 0.20481282E+02
     0.00000178  , 0.24546856E+02
     0.00000186  , 0.29376157E+02
     0.00000195  , 0.35103828E+02
     0.00000204  , 0.41886530E+02
     0.00000214  , 0.49906219E+02
     0.00000224  , 0.59373870E+02
     0.00000234  , 0.70533662E+02
     0.00000245  , 0.83667714E+02
     0.00000257  , 0.99101395E+02
     0.00000269  , 0.11720929E+03
     0.00000282  , 0.13842186E+03
     0.00000295  , 0.16323291E+03
     0.00000309  , 0.19220786E+03
     0.00000324  , 0.22599300E+03
     0.00000339  , 0.26532563E+03
     0.00000355  , 0.31104542E+03
     0.00000372  , 0.36410683E+03
     0.00000389  , 0.42559275E+03
     0.00000407  , 0.49672957E+03
     0.00000427  , 0.57890354E+03
     0.00000447  , 0.67367865E+03
     0.00000468  , 0.78281611E+03
     0.00000490  , 0.90829541E+03
     0.00000513  , 0.10523371E+04
     0.00000537  , 0.12174273E+04
     0.00000562  , 0.14063440E+04
     0.00000589  , 0.16221855E+04
     0.00000617  , 0.18683999E+04
     0.00000646  , 0.21488177E+04
     0.00000676  , 0.24676848E+04
     0.00000708  , 0.28296987E+04
     0.00000741  , 0.32400454E+04
     0.00000776  , 0.37044385E+04
     0.00000813  , 0.42291597E+04
     0.00000851  , 0.48211003E+04
     0.00000891  , 0.54878046E+04
     0.00000933  , 0.62375137E+04
     0.00000977  , 0.70792096E+04
     0.00001023  , 0.80226607E+04
     0.00001072  , 0.90784660E+04
     0.00001122  , 0.10258100E+05
     0.00001175  , 0.11573954E+05
     0.00001230  , 0.13039381E+05
     0.00001288  , 0.14668733E+05
     0.00001349  , 0.16477397E+05
     0.00001413  , 0.18481832E+05
     0.00001479  , 0.20699593E+05
     0.00001549  , 0.23149361E+05
     0.00001622  , 0.25850955E+05
     0.00001698  , 0.28825348E+05
     0.00001778  , 0.32094671E+05
     0.00001862  , 0.35682206E+05
     0.00001950  , 0.39612373E+05
     0.00002042  , 0.43910704E+05
     0.00002138  , 0.48603814E+05
     0.00002239  , 0.53719342E+05
     0.00002344  , 0.59285899E+05
     0.00002455  , 0.65332990E+05
     0.00002570  , 0.71890921E+05
     0.00002692  , 0.78990699E+05
     0.00002818  , 0.86663906E+05
     0.00002951  , 0.94942563E+05
     0.00003090  , 0.10385898E+06
     0.00003236  , 0.11344556E+06
     0.00003388  , 0.12373467E+06
     0.00003548  , 0.13475834E+06
     0.00003715  , 0.14654814E+06
     0.00003890  , 0.15913488E+06
     0.00004074  , 0.17254835E+06
     0.00004266  , 0.18681711E+06
     0.00004467  , 0.20196815E+06
     0.00004677  , 0.21802662E+06
     0.00004898  , 0.23501551E+06
     0.00005129  , 0.25295539E+06
     0.00005370  , 0.27186403E+06
     0.00005623  , 0.29175610E+06
     0.00005888  , 0.31264287E+06
     0.00006166  , 0.33453188E+06
     0.00006457  , 0.35742662E+06
     0.00006761  , 0.38132621E+06
     0.00007079  , 0.40622516E+06
     0.00007413  , 0.43211304E+06
     0.00007762  , 0.45897425E+06
     0.00008128  , 0.48678778E+06
     0.00008511  , 0.51552698E+06
     0.00008913  , 0.54515943E+06
     0.00009333  , 0.57564673E+06
     0.00009772  , 0.60694447E+06
     0.00010233  , 0.63900207E+06
     0.00010715  , 0.67176282E+06
     0.00011220  , 0.70516388E+06
     0.00011749  , 0.73913632E+06
     0.00012303  , 0.77360527E+06
     0.00012882  , 0.80849007E+06
     0.00013490  , 0.84370448E+06
     0.00014125  , 0.87915695E+06
     0.00014791  , 0.91475094E+06
     0.00015488  , 0.95038529E+06
     0.00016218  , 0.98595466E+06
     0.00016982  , 0.10213500E+07
     0.00017783  , 0.10564589E+07
     0.00018621  , 0.10911665E+07
     0.00019498  , 0.11253557E+07
     0.00020417  , 0.11589082E+07
     0.00021380  , 0.11917046E+07
     0.00022387  , 0.12236257E+07
     0.00023442  , 0.12545529E+07
     0.00024547  , 0.12843688E+07
     0.00025704  , 0.13129583E+07
     0.00026915  , 0.13402089E+07
     0.00028184  , 0.13660118E+07
     0.00029512  , 0.13902624E+07
     0.00030903  , 0.14128613E+07
     0.00032359  , 0.14337144E+07
     0.00033884  , 0.14527343E+07
     0.00035481  , 0.14698401E+07
     0.00037154  , 0.14849588E+07
     0.00038905  , 0.14980252E+07
     0.00040738  , 0.15089825E+07
     0.00042658  , 0.15177831E+07
     0.00044668  , 0.15243882E+07
     0.00046774  , 0.15287690E+07
     0.00048978  , 0.15309060E+07
     0.00051286  , 0.15307899E+07
     0.00053703  , 0.15284212E+07
     0.00056234  , 0.15238103E+07
     0.00058884  , 0.15169775E+07
     0.00061659  , 0.15079529E+07
     0.00064565  , 0.14967760E+07
     0.00067608  , 0.14834955E+07
     0.00070795  , 0.14681690E+07
     0.00074131  , 0.14508625E+07
     0.00077625  , 0.14316500E+07
     0.00081283  , 0.14106129E+07
     0.00085114  , 0.13878394E+07
     0.00089125  , 0.13634242E+07
     0.00093325  , 0.13374673E+07
     0.00097724  , 0.13100737E+07
     0.00102329  , 0.12813527E+07
     0.00107152  , 0.12514170E+07
     0.00112202  , 0.12203820E+07
     0.00117490  , 0.11883652E+07
     0.00123027  , 0.11554854E+07
     0.00128825  , 0.11218619E+07
     0.00134896  , 0.10876138E+07
     0.00141254  , 0.10528595E+07
     0.00147911  , 0.10177158E+07
     0.00154882  , 0.98229743E+06
     0.00162181  , 0.94671639E+06
     0.00169824  , 0.91108139E+06
     0.00177828  , 0.87549738E+06
     0.00186209  , 0.84006505E+06
     0.00194984  , 0.80488045E+06
     0.00204174  , 0.77003459E+06
     0.00213796  , 0.73561314E+06
     0.00223872  , 0.70169619E+06
     0.00234423  , 0.66835800E+06
     0.00245471  , 0.63566687E+06
     0.00257040  , 0.60368502E+06
     0.00269153  , 0.57246852E+06
     0.00281838  , 0.54206730E+06
     0.00295121  , 0.51252518E+06
     0.00309030  , 0.48387992E+06
     0.00323594  , 0.45616335E+06
     0.00338844  , 0.42940151E+06
     0.00354813  , 0.40361485E+06
     0.00371535  , 0.37881843E+06
     0.00389045  , 0.35502215E+06
     0.00407380  , 0.33223104E+06
     0.00426579  , 0.31044548E+06
     0.00446684  , 0.28966157E+06
     0.00467735  , 0.26987137E+06
     0.00489779  , 0.25106324E+06
     0.00512861  , 0.23322218E+06
     0.00537032  , 0.21633010E+06
     0.00562341  , 0.20036619E+06
     0.00588844  , 0.18530722E+06
     0.00616595  , 0.17112783E+06
     0.00645654  , 0.15780084E+06
     0.00676083  , 0.14529758E+06
     0.00707946  , 0.13358812E+06
     0.00741310  , 0.12264157E+06
     0.00776247  , 0.11242631E+06
     0.00812830  , 0.10291024E+06
     0.00851138  , 0.94061011E+05
     0.00891251  , 0.85846199E+05
     0.00933254  , 0.78233525E+05
     0.00977237  , 0.71191003E+05
