Time(s), Temperature(K)
       1.0,299.970734
       2.0,299.941467
       3.0,299.912201
       4.0,299.882935
       5.0,299.853668
       6.0,299.824402
       7.0,299.795135
       8.0,299.765869
       9.0,299.736603
      10.0,299.707336
      11.0,299.678070
      12.0,299.648804
      13.0,299.619537
      14.0,299.590271
      15.0,299.561005
      16.0,299.531738
      17.0,299.502472
      18.0,299.473206
      19.0,299.443939
      20.0,299.414673
      21.0,299.385406
      22.0,299.356140
      23.0,299.326874
      24.0,299.297607
      25.0,299.268341
      26.0,299.239075
      27.0,299.209808
      28.0,299.180542
      29.0,299.151276
      30.0,299.122009
      31.0,299.092743
      32.0,299.063477
      33.0,299.034210
      34.0,299.004944
      35.0,298.975677
      36.0,298.946411
      37.0,298.917145
      38.0,298.887878
      39.0,298.858612
      40.0,298.829346
      41.0,298.800079
      42.0,298.770813
      43.0,298.741547
      44.0,298.712280
      45.0,298.683014
      46.0,298.653748
      47.0,298.624481
      48.0,298.595215
      49.0,298.565948
      50.0,298.536682
      51.0,298.507416
      52.0,298.478149
      53.0,298.448883
      54.0,298.419617
      55.0,298.390350
      56.0,298.361084
      57.0,298.331818
      58.0,298.302551
      59.0,298.273285
      60.0,298.244019
      61.0,298.214752
      62.0,298.185486
      63.0,298.156219
      64.0,298.126953
      65.0,298.097687
      66.0,298.068420
      67.0,298.039154
      68.0,298.009888
      69.0,297.980621
      70.0,297.951355
      71.0,297.922089
      72.0,297.892822
      73.0,297.863556
      74.0,297.834290
      75.0,297.805023
      76.0,297.775757
      77.0,297.746490
      78.0,297.717224
      79.0,297.687958
      80.0,297.658691
      81.0,297.629425
      82.0,297.600159
      83.0,297.570892
      84.0,297.541626
      85.0,297.512360
      86.0,297.483093
      87.0,297.453827
      88.0,297.424561
      89.0,297.395294
      90.0,297.366028
      91.0,297.336761
      92.0,297.307495
      93.0,297.278229
      94.0,297.248962
      95.0,297.219696
      96.0,297.190430
      97.0,297.161163
      98.0,297.131897
      99.0,297.102631
     100.0,297.073364
     101.0,297.000183
     102.0,296.927002
     103.0,296.853821
     104.0,296.780640
     105.0,296.707458
     106.0,296.634277
     107.0,296.561096
     108.0,296.487915
     109.0,296.414734
     110.0,296.341553
     111.0,296.268372
     112.0,296.195190
     113.0,296.122009
     114.0,296.048828
     115.0,295.975647
     116.0,295.902466
     117.0,295.829285
     118.0,295.756104
     119.0,295.682922
     120.0,295.609741
     121.0,295.536560
     122.0,295.463379
     123.0,295.390198
     124.0,295.317017
     125.0,295.243835
     126.0,295.170654
     127.0,295.097473
     128.0,295.024292
     129.0,294.951111
     130.0,294.877930
     131.0,294.804749
     132.0,294.731567
     133.0,294.658386
     134.0,294.585205
     135.0,294.512024
     136.0,294.438843
     137.0,294.365662
     138.0,294.292480
     139.0,294.219299
     140.0,294.146118
     141.0,294.072937
     142.0,293.999756
     143.0,293.926575
     144.0,293.853394
     145.0,293.780212
     146.0,293.707031
     147.0,293.633850
     148.0,293.560669
     149.0,293.487488
     150.0,293.414307
     151.0,293.341125
     152.0,293.267944
     153.0,293.194763
     154.0,293.121582
     155.0,293.048401
     156.0,292.975220
     157.0,292.902039
     158.0,292.828857
     159.0,292.755676
     160.0,292.682495
     161.0,292.609314
     162.0,292.536133
     163.0,292.462952
     164.0,292.389771
     165.0,292.316589
     166.0,292.243408
     167.0,292.170227
     168.0,292.097046
     169.0,292.023865
     170.0,291.950684
     171.0,291.877502
     172.0,291.804321
     173.0,291.731140
     174.0,291.657959
     175.0,291.584778
     176.0,291.511597
     177.0,291.438416
     178.0,291.365234
     179.0,291.292053
     180.0,291.218872
     181.0,291.145691
     182.0,291.072510
     183.0,290.999329
     184.0,290.926147
     185.0,290.852966
     186.0,290.779785
     187.0,290.706604
     188.0,290.633423
     189.0,290.560242
     190.0,290.487061
     191.0,290.413879
     192.0,290.340698
     193.0,290.267517
     194.0,290.194336
     195.0,290.121155
     196.0,290.047974
     197.0,289.974792
     198.0,289.901611
     199.0,289.828430
     200.0,289.755249
     201.0,289.682068
     202.0,289.608887
     203.0,289.535706
     204.0,289.462524
     205.0,289.389343
     206.0,289.316162
     207.0,289.242981
     208.0,289.169800
     209.0,289.096619
     210.0,289.023438
     211.0,288.950256
     212.0,288.877075
     213.0,288.803894
     214.0,288.730713
     215.0,288.657532
     216.0,288.584351
     217.0,288.511169
     218.0,288.437988
     219.0,288.364807
     220.0,288.291626
     221.0,288.218445
     222.0,288.145264
     223.0,288.072083
     224.0,287.998901
     225.0,287.925720
     226.0,287.852539
     227.0,287.779358
     228.0,287.706177
     229.0,287.632996
     230.0,287.559814
     231.0,287.486633
     232.0,287.413452
     233.0,287.340271
     234.0,287.267090
     235.0,287.193909
     236.0,287.120728
     237.0,287.047546
     238.0,286.974365
     239.0,286.901184
     240.0,286.828003
     241.0,286.754822
     242.0,286.681641
     243.0,286.608459
     244.0,286.535278
     245.0,286.462097
     246.0,286.388916
     247.0,286.315735
     248.0,286.242554
     249.0,286.169373
     250.0,286.096191
     251.0,286.023010
     252.0,285.949829
     253.0,285.876648
     254.0,285.803467
     255.0,285.730286
     256.0,285.657104
     257.0,285.583923
     258.0,285.510742
     259.0,285.437561
     260.0,285.364380
     261.0,285.291199
     262.0,285.218018
     263.0,285.144836
     264.0,285.071655
     265.0,284.998474
     266.0,284.925293
     267.0,284.852112
     268.0,284.778931
     269.0,284.705750
     270.0,284.632568
     271.0,284.559387
     272.0,284.486206
     273.0,284.413025
     274.0,284.339844
     275.0,284.266663
     276.0,284.193481
     277.0,284.120300
     278.0,284.047119
     279.0,283.973938
     280.0,283.900757
     281.0,283.827576
     282.0,283.754395
     283.0,283.681213
     284.0,283.608032
     285.0,283.534851
     286.0,283.461670
     287.0,283.388489
     288.0,283.315308
     289.0,283.242126
     290.0,283.168945
     291.0,283.095764
     292.0,283.022583
     293.0,282.949402
     294.0,282.876221
     295.0,282.803040
     296.0,282.729858
     297.0,282.656677
     298.0,282.583496
     299.0,282.510315
     300.0,282.437134
     301.0,282.363953
     302.0,282.290771
     303.0,282.217590
     304.0,282.144409
     305.0,282.071228
     306.0,281.998047
     307.0,281.924866
     308.0,281.851685
     309.0,281.778503
     310.0,281.705322
     311.0,281.632141
     312.0,281.558960
     313.0,281.485779
     314.0,281.412598
     315.0,281.339417
     316.0,281.266235
     317.0,281.193054
     318.0,281.119873
     319.0,281.046692
     320.0,280.973511
     321.0,280.900330
     322.0,280.827148
     323.0,280.753967
     324.0,280.680786
     325.0,280.607605
     326.0,280.534424
     327.0,280.461243
     328.0,280.388062
     329.0,280.314880
     330.0,280.241699
     331.0,280.168518
     332.0,280.095337
     333.0,280.022156
     334.0,279.948975
     335.0,279.875793
     336.0,279.802612
     337.0,279.729431
     338.0,279.656250
     339.0,279.583069
     340.0,279.509888
     341.0,279.436707
     342.0,279.363525
     343.0,279.290344
     344.0,279.217163
     345.0,279.143982
     346.0,279.070801
     347.0,278.997620
     348.0,278.924438
     349.0,278.851257
     350.0,278.778076
     351.0,278.704895
     352.0,278.631714
     353.0,278.558533
     354.0,278.485352
     355.0,278.412170
     356.0,278.338989
     357.0,278.265808
     358.0,278.192627
     359.0,278.119446
     360.0,278.046265
     361.0,277.973083
