Time(s)   w(m/s)         T(K)        p(Pa)       z(m)    RH(%)  Activated Drops
   1.00     1.00       299.99    102388.34       1.00    50.60       0.0000E+00
   2.00     1.00       299.98    102376.68       2.00    50.62       0.0000E+00
   3.00     1.00       299.97    102365.02       3.00    50.65       0.0000E+00
   4.00     1.00       299.96    102353.36       4.00    50.67       0.0000E+00
   5.00     1.00       299.95    102341.71       5.00    50.69       0.0000E+00
   6.00     1.00       299.94    102330.05       6.00    50.72       0.0000E+00
   7.00     1.00       299.93    102318.39       7.00    50.74       0.0000E+00
   8.00     1.00       299.92    102306.74       8.00    50.76       0.0000E+00
   9.00     1.00       299.91    102295.09       9.00    50.79       0.0000E+00
  10.00     1.00       299.90    102283.43      10.00    50.81       0.0000E+00
  11.00     1.00       299.89    102271.78      11.00    50.83       0.0000E+00
  12.00     1.00       299.88    102260.13      12.00    50.86       0.0000E+00
  13.00     1.00       299.87    102248.48      13.00    50.88       0.0000E+00
  14.00     1.00       299.86    102236.83      14.00    50.90       0.0000E+00
  15.00     1.00       299.85    102225.19      15.00    50.93       0.0000E+00
  16.00     1.00       299.84    102213.54      16.00    50.95       0.0000E+00
  17.00     1.00       299.83    102201.89      17.00    50.97       0.0000E+00
  18.00     1.00       299.82    102190.25      18.00    51.00       0.0000E+00
  19.00     1.00       299.81    102178.61      19.00    51.02       0.0000E+00
  20.00     1.00       299.80    102166.96      20.00    51.04       0.0000E+00
  21.00     1.00       299.80    102155.32      21.00    51.07       0.0000E+00
  22.00     1.00       299.79    102143.68      22.00    51.09       0.0000E+00
  23.00     1.00       299.78    102132.04      23.00    51.11       0.0000E+00
  24.00     1.00       299.77    102120.40      24.00    51.14       0.0000E+00
  25.00     1.00       299.76    102108.76      25.00    51.16       0.0000E+00
  26.00     1.00       299.75    102097.13      26.00    51.19       0.0000E+00
  27.00     1.00       299.74    102085.49      27.00    51.21       0.0000E+00
  28.00     1.00       299.73    102073.86      28.00    51.23       0.0000E+00
  29.00     1.00       299.72    102062.22      29.00    51.26       0.0000E+00
  30.00     1.00       299.71    102050.59      30.00    51.28       0.0000E+00
  31.00     1.00       299.70    102038.95      31.00    51.30       0.0000E+00
  32.00     1.00       299.69    102027.32      32.00    51.33       0.0000E+00
  33.00     1.00       299.68    102015.69      33.00    51.35       0.0000E+00
  34.00     1.00       299.67    102004.06      34.00    51.37       0.0000E+00
