Time(s)   w(m/s)         T(K)        p(Pa)       z(m)    RH(%)  Activated_Drops, q
   1.00     1.00       288.14     99988.14       1.00     0.4924E+02     0.0000E+00       0.005300
   2.00     1.00       288.13     99976.29       2.00     0.4927E+02     0.0000E+00       0.005300
   3.00     1.00       288.12     99964.44       3.00     0.4929E+02     0.0000E+00       0.005300
   4.00     1.00       288.11     99952.58       4.00     0.4932E+02     0.0000E+00       0.005300
   5.00     1.00       288.10     99940.73       5.00     0.4934E+02     0.0000E+00       0.005300
   6.00     1.00       288.09     99928.88       6.00     0.4937E+02     0.0000E+00       0.005300
   7.00     1.00       288.08     99917.03       7.00     0.4939E+02     0.0000E+00       0.005300
   8.00     1.00       288.07     99905.18       8.00     0.4942E+02     0.0000E+00       0.005300
   9.00     1.00       288.06     99893.33       9.00     0.4944E+02     0.0000E+00       0.005300
  10.00     1.00       288.05     99881.49      10.00     0.4947E+02     0.0000E+00       0.005300
  11.00     1.00       288.04     99869.64      11.00     0.4950E+02     0.0000E+00       0.005300
  12.00     1.00       288.03     99857.80      12.00     0.4952E+02     0.0000E+00       0.005300
  13.00     1.00       288.02     99845.95      13.00     0.4955E+02     0.0000E+00       0.005300
  14.00     1.00       288.01     99834.11      14.00     0.4957E+02     0.0000E+00       0.005300
  15.00     1.00       288.00     99822.27      15.00     0.4960E+02     0.0000E+00       0.005300
  16.00     1.00       287.99     99810.43      16.00     0.4962E+02     0.0000E+00       0.005300
  17.00     1.00       287.98     99798.59      17.00     0.4965E+02     0.0000E+00       0.005300
  18.00     1.00       287.97     99786.75      18.00     0.4968E+02     0.0000E+00       0.005300
  19.00     1.00       287.96     99774.91      19.00     0.4970E+02     0.0000E+00       0.005300
  20.00     1.00       287.95     99763.07      20.00     0.4973E+02     0.0000E+00       0.005300
  21.00     1.00       287.95     99751.24      21.00     0.4975E+02     0.0000E+00       0.005300
  22.00     1.00       287.94     99739.40      22.00     0.4978E+02     0.0000E+00       0.005300
  23.00     1.00       287.93     99727.57      23.00     0.4980E+02     0.0000E+00       0.005300
  24.00     1.00       287.92     99715.74      24.00     0.4983E+02     0.0000E+00       0.005300
  25.00     1.00       287.91     99703.91      25.00     0.4986E+02     0.0000E+00       0.005300
  26.00     1.00       287.90     99692.07      26.00     0.4988E+02     0.0000E+00       0.005300
  27.00     1.00       287.89     99680.24      27.00     0.4991E+02     0.0000E+00       0.005300
  28.00     1.00       287.88     99668.42      28.00     0.4993E+02     0.0000E+00       0.005300
  29.00     1.00       287.87     99656.59      29.00     0.4996E+02     0.0000E+00       0.005300
  30.00     1.00       287.86     99644.76      30.00     0.4999E+02     0.0000E+00       0.005300
  31.00     1.00       287.85     99632.94      31.00     0.5001E+02     0.0000E+00       0.005300
  32.00     1.00       287.84     99621.11      32.00     0.5004E+02     0.0000E+00       0.005300
  33.00     1.00       287.83     99609.29      33.00     0.5006E+02     0.0000E+00       0.005300
