Time(s)   w(m/s)         T(K)        p(Pa)       z(m)          RH(%)       Nd(#/kg)       qv(g/kg)     total_mass
   0.00     1.00       288.14     99988.14       1.00          90.00            0.0000       0.009590     0.00000000
   1.00     1.00       288.13     99976.29       2.00          90.05            0.0000       0.009590     0.00000000
   2.00     1.00       288.12     99964.43       3.00          90.09            0.0000       0.009590     0.00000000
   3.00     1.00       288.11     99952.58       4.00          90.14            0.0000       0.009590     0.00000000
   4.00     1.00       288.10     99940.73       5.00          90.19            0.0000       0.009590     0.00000000
   5.00     1.00       288.09     99928.88       6.00          90.23            0.0000       0.009590     0.00000000
   6.00     1.00       288.08     99917.03       7.00          90.28            0.0000       0.009590     0.00000000
   7.00     1.00       288.07     99905.18       8.00          90.32            0.0000       0.009590     0.00000000
   8.00     1.00       288.06     99893.33       9.00          90.37            0.0000       0.009590     0.00000000
   9.00     1.00       288.05     99881.48      10.00          90.42            0.0000       0.009590     0.00000000
  10.00     1.00       288.04     99869.64      11.00          90.46            0.0000       0.009590     0.00000000
  11.00     1.00       288.03     99857.79      12.00          90.51            0.0000       0.009590     0.00000000
  12.00     1.00       288.02     99845.95      13.00          90.56            0.0000       0.009590     0.00000000
  13.00     1.00       288.01     99834.10      14.00          90.60            0.0000       0.009590     0.00000000
  14.00     1.00       288.00     99822.26      15.00          90.65            0.0000       0.009590     0.00000000
  15.00     1.00       287.99     99810.42      16.00          90.69            0.0000       0.009590     0.00000000
  16.00     1.00       287.98     99798.58      17.00          90.74            0.0000       0.009590     0.00000000
  17.00     1.00       287.97     99786.74      18.00          90.79            0.0000       0.009590     0.00000000
  18.00     1.00       287.96     99774.90      19.00          90.83            0.0000       0.009590     0.00000000
  19.00     1.00       287.95     99763.07      20.00          90.88            0.0000       0.009590     0.00000000
  20.00     1.00       287.95     99751.23      21.00          90.93            0.0000       0.009590     0.00000000
  21.00     1.00       287.94     99739.39      22.00          90.97            0.0000       0.009590     0.00000000
  22.00     1.00       287.93     99727.56      23.00          91.02            0.0000       0.009590     0.00000000
  23.00     1.00       287.92     99715.73      24.00          91.07            0.0000       0.009590     0.00000000
  24.00     1.00       287.91     99703.90      25.00          91.11            0.0000       0.009590     0.00000000
  25.00     1.00       287.90     99692.06      26.00          91.16            0.0000       0.009590     0.00000000
  26.00     1.00       287.89     99680.23      27.00          91.21            0.0000       0.009590     0.00000000
  27.00     1.00       287.88     99668.40      28.00          91.25            0.0000       0.009590     0.00000000
  28.00     1.00       287.87     99656.58      29.00          91.30            0.0000       0.009590     0.00000000
  29.00     1.00       287.86     99644.75      30.00          91.35            0.0000       0.009590     0.00000000
  30.00     1.00       287.85     99632.92      31.00          91.39            0.0000       0.009590     0.00000000
  31.00     1.00       287.84     99621.10      32.00          91.44            0.0000       0.009590     0.00000000
  32.00     1.00       287.83     99609.27      33.00          91.49            0.0000       0.009590     0.00000000
  33.00     1.00       287.82     99597.45      34.00          91.53            0.0000       0.009590     0.00000000
  34.00     1.00       287.81     99585.63      35.00          91.58            0.0000       0.009590     0.00000000
  35.00     1.00       287.80     99573.81      36.00          91.63            0.0000       0.009590     0.00000000
  36.00     1.00       287.79     99561.99      37.00          91.67            0.0000       0.009590     0.00000000
  37.00     1.00       287.78     99550.17      38.00          91.72            0.0000       0.009590     0.00000000
  38.00     1.00       287.77     99538.35      39.00          91.77            0.0000       0.009590     0.00000000
  39.00     1.00       287.76     99526.53      40.00          91.81            0.0000       0.009590     0.00000000
  40.00     1.00       287.75     99514.72      41.00          91.86            0.0000       0.009590     0.00000000
  41.00     1.00       287.74     99502.90      42.00          91.91            0.0000       0.009590     0.00000000
  42.00     1.00       287.73     99491.09      43.00          91.95            0.0000       0.009590     0.00000000
  43.00     1.00       287.72     99479.27      44.00          92.00            0.0000       0.009590     0.00000000
  44.00     1.00       287.71     99467.46      45.00          92.05            0.0000       0.009590     0.00000000
  45.00     1.00       287.70     99455.65      46.00          92.10            0.0000       0.009590     0.00000000
  46.00     1.00       287.69     99443.84      47.00          92.14            0.0000       0.009590     0.00000000
  47.00     1.00       287.68     99432.03      48.00          92.19            0.0000       0.009590     0.00000000
  48.00     1.00       287.67     99420.22      49.00          92.24            0.0000       0.009590     0.00000000
  49.00     1.00       287.66     99408.42      50.00          92.28            0.0000       0.009590     0.00000000
  50.00     1.00       287.65     99396.61      51.00          92.33            0.0000       0.009590     0.00000000
  51.00     1.00       287.64     99384.81      52.00          92.38            0.0000       0.009590     0.00000000
  52.00     1.00       287.63     99373.00      53.00          92.43            0.0000       0.009590     0.00000000
  53.00     1.00       287.62     99361.20      54.00          92.47            0.0000       0.009590     0.00000000
  54.00     1.00       287.61     99349.40      55.00          92.52            0.0000       0.009590     0.00000000
  55.00     1.00       287.60     99337.60      56.00          92.57            0.0000       0.009590     0.00000000
  56.00     1.00       287.59     99325.80      57.00          92.62            0.0000       0.009590     0.00000000
  57.00     1.00       287.58     99314.00      58.00          92.66            0.0000       0.009590     0.00000000
  58.00     1.00       287.57     99302.20      59.00          92.71            0.0000       0.009590     0.00000000
  59.00     1.00       287.56     99290.40      60.00          92.76            0.0000       0.009590     0.00000000
  60.00     1.00       287.55     99278.61      61.00          92.81            0.0000       0.009590     0.00000000
  61.00     1.00       287.55     99266.81      62.00          92.85            0.0000       0.009590     0.00000000
  62.00     1.00       287.54     99255.02      63.00          92.90            0.0000       0.009590     0.00000000
  63.00     1.00       287.53     99243.22      64.00          92.95            0.0000       0.009590     0.00000000
  64.00     1.00       287.52     99231.43      65.00          93.00            0.0000       0.009590     0.00000000
  65.00     1.00       287.51     99219.64      66.00          93.04            0.0000       0.009590     0.00000000
  66.00     1.00       287.50     99207.85      67.00          93.09            0.0000       0.009590     0.00000000
  67.00     1.00       287.49     99196.06      68.00          93.14            0.0000       0.009590     0.00000000
  68.00     1.00       287.48     99184.27      69.00          93.19            0.0000       0.009590     0.00000000
  69.00     1.00       287.47     99172.49      70.00          93.23            0.0000       0.009590     0.00000000
  70.00     1.00       287.46     99160.70      71.00          93.28            0.0000       0.009590     0.00000000
  71.00     1.00       287.45     99148.91      72.00          93.33            0.0000       0.009590     0.00000000
  72.00     1.00       287.44     99137.13      73.00          93.38            0.0000       0.009590     0.00000000
  73.00     1.00       287.43     99125.35      74.00          93.43            0.0000       0.009590     0.00000000
  74.00     1.00       287.42     99113.57      75.00          93.47            0.0000       0.009590     0.00000000
  75.00     1.00       287.41     99101.78      76.00          93.52            0.0000       0.009590     0.00000000
  76.00     1.00       287.40     99090.00      77.00          93.57            0.0000       0.009590     0.00000000
  77.00     1.00       287.39     99078.22      78.00          93.62            0.0000       0.009590     0.00000000
  78.00     1.00       287.38     99066.45      79.00          93.67            0.0000       0.009590     0.00000000
  79.00     1.00       287.37     99054.67      80.00          93.71            0.0000       0.009590     0.00000000
  80.00     1.00       287.36     99042.89      81.00          93.76            0.0000       0.009590     0.00000000
  81.00     1.00       287.35     99031.12      82.00          93.81            0.0000       0.009590     0.00000000
  82.00     1.00       287.34     99019.34      83.00          93.86            0.0000       0.009590     0.00000000
  83.00     1.00       287.33     99007.57      84.00          93.91            0.0000       0.009590     0.00000000
  84.00     1.00       287.32     98995.80      85.00          93.96            0.0000       0.009590     0.00000000
  85.00     1.00       287.31     98984.03      86.00          94.00            0.0000       0.009590     0.00000000
  86.00     1.00       287.30     98972.26      87.00          94.05            0.0000       0.009590     0.00000000
  87.00     1.00       287.29     98960.49      88.00          94.10            0.0000       0.009590     0.00000000
  88.00     1.00       287.28     98948.72      89.00          94.15            0.0000       0.009590     0.00000000
  89.00     1.00       287.27     98936.95      90.00          94.20            0.0000       0.009590     0.00000000
  90.00     1.00       287.26     98925.19      91.00          94.25            0.0000       0.009590     0.00000000
  91.00     1.00       287.25     98913.42      92.00          94.29            0.0000       0.009590     0.00000000
  92.00     1.00       287.24     98901.66      93.00          94.34            0.0000       0.009590     0.00000000
  93.00     1.00       287.23     98889.90      94.00          94.39            0.0000       0.009590     0.00000000
  94.00     1.00       287.22     98878.13      95.00          94.44            0.0000       0.009590     0.00000000
  95.00     1.00       287.21     98866.37      96.00          94.49            0.0000       0.009590     0.00000000
  96.00     1.00       287.20     98854.61      97.00          94.54            0.0000       0.009590     0.00000000
  97.00     1.00       287.19     98842.85      98.00          94.58            0.0000       0.009590     0.00000000
  98.00     1.00       287.18     98831.10      99.00          94.63            0.0000       0.009590     0.00000000
  99.00     1.00       287.17     98819.34     100.00          94.68            0.0000       0.009590     0.00000000
 100.00     1.00       287.16     98807.58     101.00          94.73            0.0000       0.009590     0.00000000
 101.00     1.00       287.15     98795.83     102.00          94.78            0.0000       0.009590     0.00000000
 102.00     1.00       287.14     98784.07     103.00          94.83            0.0000       0.009590     0.00000000
 103.00     1.00       287.14     98772.32     104.00          94.88            0.0000       0.009590     0.00000000
 104.00     1.00       287.13     98760.57     105.00          94.93            0.0000       0.009590     0.00000000
 105.00     1.00       287.12     98748.82     106.00          94.97            0.0000       0.009590     0.00000000
 106.00     1.00       287.11     98737.07     107.00          95.02            0.0000       0.009590     0.00000000
 107.00     1.00       287.10     98725.32     108.00          95.07            0.0000       0.009590     0.00000000
 108.00     1.00       287.09     98713.57     109.00          95.12            0.0000       0.009590     0.00000000
 109.00     1.00       287.08     98701.82     110.00          95.17            0.0000       0.009590     0.00000000
 110.00     1.00       287.07     98690.08     111.00          95.22            0.0000       0.009590     0.00000000
 111.00     1.00       287.06     98678.33     112.00          95.27            0.0000       0.009590     0.00000000
 112.00     1.00       287.05     98666.59     113.00          95.32            0.0000       0.009590     0.00000000
 113.00     1.00       287.04     98654.84     114.00          95.37            0.0000       0.009590     0.00000000
 114.00     1.00       287.03     98643.10     115.00          95.42            0.0000       0.009590     0.00000000
 115.00     1.00       287.02     98631.36     116.00          95.46            0.0000       0.009590     0.00000000
 116.00     1.00       287.01     98619.62     117.00          95.51            0.0000       0.009590     0.00000000
 117.00     1.00       287.00     98607.88     118.00          95.56            0.0000       0.009590     0.00000000
 118.00     1.00       286.99     98596.14     119.00          95.61            0.0000       0.009590     0.00000000
 119.00     1.00       286.98     98584.41     120.00          95.66            0.0000       0.009590     0.00000000
 120.00     1.00       286.97     98572.67     121.00          95.71            0.0000       0.009590     0.00000000
 121.00     1.00       286.96     98560.94     122.00          95.76            0.0000       0.009590     0.00000000
 122.00     1.00       286.95     98549.20     123.00          95.81            0.0000       0.009590     0.00000000
 123.00     1.00       286.94     98537.47     124.00          95.86            0.0000       0.009590     0.00000000
 124.00     1.00       286.93     98525.74     125.00          95.91            0.0000       0.009590     0.00000000
 125.00     1.00       286.92     98514.01     126.00          95.96            0.0000       0.009590     0.00000000
 126.00     1.00       286.91     98502.27     127.00          96.01            0.0000       0.009590     0.00000000
 127.00     1.00       286.90     98490.55     128.00          96.06            0.0000       0.009590     0.00000000
 128.00     1.00       286.89     98478.82     129.00          96.11            0.0000       0.009590     0.00000000
 129.00     1.00       286.88     98467.09     130.00          96.16            0.0000       0.009590     0.00000000
 130.00     1.00       286.87     98455.36     131.00          96.21            0.0000       0.009590     0.00000000
 131.00     1.00       286.86     98443.64     132.00          96.25            0.0000       0.009590     0.00000000
 132.00     1.00       286.85     98431.92     133.00          96.30            0.0000       0.009590     0.00000000
 133.00     1.00       286.84     98420.19     134.00          96.35            0.0000       0.009590     0.00000000
 134.00     1.00       286.83     98408.47     135.00          96.40            0.0000       0.009590     0.00000000
 135.00     1.00       286.82     98396.75     136.00          96.45            0.0000       0.009590     0.00000000
 136.00     1.00       286.81     98385.03     137.00          96.50            0.0000       0.009590     0.00000000
 137.00     1.00       286.80     98373.31     138.00          96.55            0.0000       0.009590     0.00000000
 138.00     1.00       286.79     98361.59     139.00          96.60            0.0000       0.009590     0.00000000
 139.00     1.00       286.78     98349.87     140.00          96.65            0.0000       0.009590     0.00000000
 140.00     1.00       286.77     98338.16     141.00          96.70            0.0000       0.009590     0.00000000
 141.00     1.00       286.76     98326.44     142.00          96.75            0.0000       0.009590     0.00000000
 142.00     1.00       286.75     98314.73     143.00          96.80            0.0000       0.009590     0.00000000
 143.00     1.00       286.74     98303.02     144.00          96.85            0.0000       0.009590     0.00000000
 144.00     1.00       286.74     98291.30     145.00          96.90            0.0000       0.009590     0.00000000
 145.00     1.00       286.73     98279.59     146.00          96.95            0.0000       0.009590     0.00000000
 146.00     1.00       286.72     98267.88     147.00          97.00            0.0000       0.009590     0.00000000
 147.00     1.00       286.71     98256.17     148.00          97.05            0.0000       0.009590     0.00000000
 148.00     1.00       286.70     98244.46     149.00          97.10            0.0000       0.009590     0.00000000
 149.00     1.00       286.69     98232.76     150.00          97.15            0.0000       0.009590     0.00000000
 150.00     1.00       286.68     98221.05     151.00          97.20            0.0000       0.009590     0.00000000
 151.00     1.00       286.67     98209.35     152.00          97.25            0.0000       0.009590     0.00000000
 152.00     1.00       286.66     98197.64     153.00          97.30            0.0000       0.009590     0.00000000
 153.00     1.00       286.65     98185.94     154.00          97.35            0.0000       0.009590     0.00000000
 154.00     1.00       286.64     98174.24     155.00          97.40            0.0000       0.009590     0.00000000
 155.00     1.00       286.63     98162.54     156.00          97.45            0.0000       0.009590     0.00000000
 156.00     1.00       286.62     98150.84     157.00          97.50            0.0000       0.009590     0.00000000
 157.00     1.00       286.61     98139.14     158.00          97.56            0.0000       0.009590     0.00000000
 158.00     1.00       286.60     98127.44     159.00          97.61            0.0000       0.009590     0.00000000
 159.00     1.00       286.59     98115.74     160.00          97.66            0.0000       0.009590     0.00000000
 160.00     1.00       286.58     98104.04     161.00          97.71            0.0000       0.009590     0.00000000
 161.00     1.00       286.57     98092.35     162.00          97.76            0.0000       0.009590     0.00000000
 162.00     1.00       286.56     98080.66     163.00          97.81            0.0000       0.009590     0.00000000
 163.00     1.00       286.55     98068.96     164.00          97.86            0.0000       0.009590     0.00000000
 164.00     1.00       286.54     98057.27     165.00          97.91            0.0000       0.009590     0.00000000
 165.00     1.00       286.53     98045.58     166.00          97.96            0.0000       0.009590     0.00000000
 166.00     1.00       286.52     98033.89     167.00          98.01            0.0000       0.009590     0.00000000
 167.00     1.00       286.51     98022.20     168.00          98.06            0.0000       0.009590     0.00000000
 168.00     1.00       286.50     98010.51     169.00          98.11            0.0000       0.009590     0.00000000
 169.00     1.00       286.49     97998.82     170.00          98.16            0.0000       0.009590     0.00000000
 170.00     1.00       286.48     97987.14     171.00          98.21            0.0000       0.009590     0.00000000
 171.00     1.00       286.47     97975.45     172.00          98.26            0.0000       0.009590     0.00000000
 172.00     1.00       286.46     97963.77     173.00          98.31            0.0000       0.009590     0.00000000
 173.00     1.00       286.45     97952.08     174.00          98.37            0.0000       0.009590     0.00000000
 174.00     1.00       286.44     97940.40     175.00          98.42            0.0000       0.009590     0.00000000
 175.00     1.00       286.43     97928.72     176.00          98.47            0.0000       0.009590     0.00000000
 176.00     1.00       286.42     97917.04     177.00          98.52            0.0000       0.009590     0.00000000
 177.00     1.00       286.41     97905.36     178.00          98.57            0.0000       0.009590     0.00000000
 178.00     1.00       286.40     97893.68     179.00          98.62            0.0000       0.009590     0.00000000
 179.00     1.00       286.39     97882.01     180.00          98.67            0.0000       0.009590     0.00000000
 180.00     1.00       286.38     97870.33     181.00          98.72            0.0000       0.009590     0.00000000
 181.00     1.00       286.37     97858.65     182.00          98.77            0.0000       0.009590     0.00000000
 182.00     1.00       286.36     97846.98     183.00          98.82            0.0000       0.009590     0.00000000
 183.00     1.00       286.35     97835.31     184.00          98.88            0.0000       0.009590     0.00000000
 184.00     1.00       286.34     97823.63     185.00          98.93            0.0000       0.009590     0.00000000
 185.00     1.00       286.34     97811.96     186.00          98.98            0.0000       0.009590     0.00000000
 186.00     1.00       286.33     97800.29     187.00          99.03            0.0000       0.009590     0.00000000
 187.00     1.00       286.32     97788.62     188.00          99.08            0.0000       0.009590     0.00000000
