Diameter(nm)    dN/dlogD * 1e-3 (cm^-3/nm)
    0.2030937985E+04       0.0000000000E+00
    0.2094257096E+04       0.0000000000E+00
    0.2159550325E+04       0.0000000000E+00
    0.2226879218E+04       0.0000000000E+00
    0.2296307243E+04       0.0000000000E+00
    0.2367899844E+04       0.0000000000E+00
    0.2441724508E+04       0.0000000000E+00
    0.2517850824E+04       0.0000000000E+00
    0.2596350550E+04       0.0000000000E+00
    0.2677297684E+04       0.0000000000E+00
    0.2760768529E+04       0.0000000000E+00
    0.2846841768E+04       0.0000000000E+00
    0.2935598535E+04       0.0000000000E+00
    0.3027122497E+04       0.0000000000E+00
    0.3121499926E+04       0.0000000000E+00
    0.3218819787E+04       0.0000000000E+00
    0.3319173815E+04       0.0000000000E+00
    0.3422656608E+04       0.0000000000E+00
    0.3529365713E+04       0.0000000000E+00
    0.3639401717E+04       0.0000000000E+00
    0.3752868344E+04       0.0000000000E+00
    0.3869872551E+04       0.0000000000E+00
    0.3990524630E+04       0.0000000000E+00
    0.4114938312E+04       0.0000000000E+00
    0.4243230874E+04       0.0000000000E+00
    0.4375523248E+04       0.0000000000E+00
    0.4511940138E+04       0.0000000000E+00
    0.4652610134E+04       0.0000000000E+00
    0.4797665838E+04       0.0000000000E+00
    0.4947243983E+04       0.0000000000E+00
    0.5101485567E+04       0.0000000000E+00
    0.5260535984E+04       0.0000000000E+00
    0.5424545159E+04       0.0000000000E+00
    0.5593667693E+04       0.0000000000E+00
    0.5768063006E+04       0.0000000000E+00
    0.5947895490E+04       0.0000000000E+00
    0.6133334661E+04       0.0000000000E+00
    0.6324555320E+04       0.0000000000E+00
    0.6521737718E+04       0.0000000000E+00
    0.6725067726E+04       0.0000000000E+00
    0.6934737009E+04       0.6531946826-123
    0.7150943209E+04       0.1415815752-113
    0.7373890129E+04       0.4140440037-105
    0.7603787926E+04       0.2574865123E-97
    0.7840853311E+04       0.4385330302E-90
    0.8085309747E+04       0.2355881744E-83
    0.8337387669E+04       0.4320650253E-77
    0.8597324694E+04       0.2883463239E-71
    0.8865365847E+04       0.7486347010E-66
    0.9141763792E+04       0.8102568724E-61
    0.9426779072E+04       0.3910234987E-56
    0.9720680352E+04       0.8961770598E-52
    0.1002374467E+05       0.1033588193E-47
    0.1033625771E+05       0.6323582574E-44
    0.1065851406E+05       0.2152870109E-40
    0.1099081748E+05       0.4259367342E-37
    0.1133348121E+05       0.5093519573E-34
    0.1168682827E+05       0.3815215400E-31
    0.1205119172E+05       0.1848817464E-28
    0.1242691503E+05       0.5968824539E-26
    0.1281435238E+05       0.1318476073E-23
    0.1321386896E+05       0.2041487034E-21
    0.1362584138E+05       0.2264893022E-19
    0.1405065798E+05       0.1836689848E-17
    0.1448871920E+05       0.1108611023E-15
    0.1494043798E+05       0.5063254859E-14
    0.1540624012E+05       0.1776203973E-12
    0.1588656469E+05       0.4851656416E-11
    0.1638186448E+05       0.1044761195E-09
    0.1689260637E+05       0.1793888692E-08
    0.1741927180E+05       0.2481533554E-07
    0.1796235722E+05       0.2791908740E-06
    0.1852237456E+05       0.2576929134E-05
    0.1909985172E+05       0.1966869217E-04
    0.1969533304E+05       0.1250518762E-03
    0.2030937985E+05       0.6667491346E-03
    0.2094257096E+05       0.2999703812E-02
    0.2159550325E+05       0.1145292369E-01
    0.2226879218E+05       0.3730497122E-01
    0.2296307243E+05       0.1041715333E+00
    0.2367899844E+05       0.2505117599E+00
    0.2441724508E+05       0.5209879637E+00
    0.2517850824E+05       0.9406828500E+00
    0.2596350550E+05       0.1479970684E+01
    0.2677297684E+05       0.2035770379E+01
    0.2760768529E+05       0.2456087621E+01
    0.2846841768E+05       0.2606647169E+01
    0.2935598535E+05       0.2440313599E+01
    0.3027122497E+05       0.2020505719E+01
    0.3121499926E+05       0.1483139665E+01
    0.3218819787E+05       0.9673950609E+00
    0.3319173815E+05       0.5618995187E+00
    0.3422656608E+05       0.2912224458E+00
    0.3529365713E+05       0.1349367330E+00
    0.3639401717E+05       0.5599581100E-01
    0.3752868344E+05       0.2084674143E-01
    0.3869872551E+05       0.6973887583E-02
    0.3990524630E+05       0.2099544173E-02
    0.4114938312E+05       0.5696558130E-03
    0.4243230874E+05       0.1394854590E-03
    0.4375523248E+05       0.3086278750E-04
    0.4511940138E+05       0.6178222927E-05
    0.4652610134E+05       0.1120262846E-05
    0.4797665838E+05       0.1841980156E-06
    0.4947243983E+05       0.2749260601E-07
    0.5101485567E+05       0.3728619897E-08
    0.5260535984E+05       0.4599347163E-09
    0.5424545159E+05       0.5164821821E-10
    0.5593667693E+05       0.5284482593E-11
    0.5768063006E+05       0.4930571275E-12
