Radius(m)        Vt(cm/s)
  0.1015469E-05     0.3095604E-04
  0.1047129E-05     0.3291344E-04
  0.1079775E-05     0.3499471E-04
  0.1113440E-05     0.3720768E-04
  0.1148154E-05     0.3956070E-04
  0.1183950E-05     0.4206262E-04
  0.1220862E-05     0.4472288E-04
  0.1258925E-05     0.4755150E-04
  0.1298175E-05     0.5055913E-04
  0.1338649E-05     0.5375711E-04
  0.1380384E-05     0.5715750E-04
  0.1423421E-05     0.6077309E-04
  0.1467799E-05     0.6461753E-04
  0.1513561E-05     0.6870529E-04
  0.1560750E-05     0.7305179E-04
  0.1609410E-05     0.7767339E-04
  0.1659587E-05     0.8258753E-04
  0.1711328E-05     0.8781272E-04
  0.1764683E-05     0.9336865E-04
  0.1819701E-05     0.9927626E-04
  0.1876434E-05     0.1055578E-03
  0.1934936E-05     0.1122370E-03
  0.1995262E-05     0.1193390E-03
  0.2057469E-05     0.1268906E-03
  0.2121615E-05     0.1349202E-03
  0.2187762E-05     0.1434581E-03
  0.2255970E-05     0.1525364E-03
  0.2326305E-05     0.1621895E-03
  0.2398833E-05     0.1724537E-03
  0.2473622E-05     0.1833677E-03
  0.2550743E-05     0.1949726E-03
  0.2630268E-05     0.2073121E-03
  0.2712273E-05     0.2204329E-03
  0.2796834E-05     0.2343843E-03
  0.2884032E-05     0.2492190E-03
  0.2973948E-05     0.2649928E-03
  0.3066667E-05     0.2817653E-03
  0.3162278E-05     0.2995997E-03
  0.3260869E-05     0.3185632E-03
  0.3362534E-05     0.3387273E-03
  0.3467369E-05     0.3601680E-03
  0.3575472E-05     0.3829662E-03
  0.3686945E-05     0.4072078E-03
  0.3801894E-05     0.4329842E-03
  0.3920427E-05     0.4603926E-03
  0.4042655E-05     0.4895363E-03
  0.4168694E-05     0.5205253E-03
  0.4298662E-05     0.5534763E-03
  0.4432683E-05     0.5885136E-03
  0.4570882E-05     0.6257694E-03
  0.4713390E-05     0.6653840E-03
  0.4860340E-05     0.7075069E-03
  0.5011872E-05     0.7522968E-03
  0.5168129E-05     0.7999227E-03
  0.5329257E-05     0.8505641E-03
  0.5495409E-05     0.9044120E-03
  0.5666741E-05     0.9616694E-03
  0.5843414E-05     0.1022552E-02
  0.6025596E-05     0.1087290E-02
  0.6213458E-05     0.1156127E-02
  0.6407176E-05     0.1229323E-02
  0.6606934E-05     0.1307153E-02
  0.6812921E-05     0.1389911E-02
  0.7025329E-05     0.1477910E-02
  0.7244360E-05     0.1571481E-02
  0.7470219E-05     0.1670976E-02
  0.7703120E-05     0.1776772E-02
  0.7943282E-05     0.1889266E-02
  0.8190932E-05     0.2008884E-02
  0.8446303E-05     0.2136076E-02
  0.8709636E-05     0.2271322E-02
  0.8981179E-05     0.2415132E-02
  0.9261187E-05     0.2568048E-02
  0.9549926E-05     0.2730647E-02
  0.9847667E-05     0.2903542E-02
  0.1015469E-04     0.3087385E-02
  0.1047129E-04     0.3282869E-02
  0.1079775E-04     0.3490731E-02
  0.1113440E-04     0.3711756E-02
  0.1148154E-04     0.3946777E-02
  0.1183950E-04     0.4196679E-02
  0.1220862E-04     0.4462407E-02
  0.1258925E-04     0.4744960E-02
  0.1298175E-04     0.5045406E-02
  0.1338649E-04     0.5364877E-02
  0.1380384E-04     0.5704577E-02
  0.1423421E-04     0.6065788E-02
  0.1467799E-04     0.6449873E-02
  0.1513561E-04     0.6858279E-02
  0.1560750E-04     0.7292546E-02
  0.1609410E-04     0.7754313E-02
  0.1659587E-04     0.8245321E-02
  0.1711328E-04     0.8767421E-02
  0.1764683E-04     0.9322582E-02
  0.1819701E-04     0.9912898E-02
  0.1876434E-04     0.1054060E-01
  0.1934936E-04     0.1118380E-01
  0.1995262E-04     0.1188722E-01
  0.2057469E-04     0.1263430E-01
  0.2121615E-04     0.1342782E-01
  0.2187762E-04     0.1427075E-01
  0.2255970E-04     0.1516622E-01
  0.2326305E-04     0.1611755E-01
  0.2398833E-04     0.1712826E-01
  0.2473622E-04     0.1820205E-01
  0.2550743E-04     0.1934284E-01
  0.2630268E-04     0.2055476E-01
  0.2712273E-04     0.2184218E-01
  0.2796834E-04     0.2320968E-01
  0.2884032E-04     0.2466210E-01
  0.2973948E-04     0.2620452E-01
  0.3066667E-04     0.2784229E-01
  0.3162278E-04     0.2958101E-01
  0.3260869E-04     0.3142655E-01
  0.3362534E-04     0.3338509E-01
  0.3467369E-04     0.3546306E-01
  0.3575472E-04     0.3766721E-01
  0.3686945E-04     0.4000456E-01
  0.3801894E-04     0.4248248E-01
  0.3920427E-04     0.4510860E-01
  0.4042655E-04     0.4789089E-01
  0.4168694E-04     0.5083762E-01
  0.4298662E-04     0.5395740E-01
  0.4432683E-04     0.5725912E-01
  0.4570882E-04     0.6075201E-01
  0.4713390E-04     0.6444563E-01
  0.4860340E-04     0.6834983E-01
  0.5011872E-04     0.7247477E-01
  0.5168129E-04     0.7683094E-01
  0.5329257E-04     0.8142911E-01
  0.5495409E-04     0.8628035E-01
  0.5666741E-04     0.9139600E-01
  0.5843414E-04     0.9678771E-01
  0.6025596E-04     0.1024674E+00
  0.6213458E-04     0.1084471E+00
  0.6407176E-04     0.1147393E+00
  0.6606934E-04     0.1213566E+00
  0.6812921E-04     0.1283117E+00
  0.7025329E-04     0.1356178E+00
  0.7244360E-04     0.1432880E+00
  0.7470219E-04     0.1513357E+00
  0.7703120E-04     0.1597743E+00
  0.7943282E-04     0.1686175E+00
  0.8190932E-04     0.1778790E+00
  0.8446303E-04     0.1875726E+00
  0.8709636E-04     0.1977123E+00
  0.8981179E-04     0.2083118E+00
  0.9261187E-04     0.2193853E+00
  0.9549926E-04     0.2309468E+00
  0.9847667E-04     0.2430101E+00
  0.1015469E-03     0.2555894E+00
  0.1047129E-03     0.2686987E+00
  0.1079775E-03     0.2823518E+00
  0.1113440E-03     0.2965629E+00
  0.1148154E-03     0.3113456E+00
  0.1183950E-03     0.3267140E+00
  0.1220862E-03     0.3426819E+00
  0.1258925E-03     0.3592631E+00
  0.1298175E-03     0.3764713E+00
  0.1338649E-03     0.3943204E+00
  0.1380384E-03     0.4128242E+00
  0.1423421E-03     0.4319965E+00
  0.1467799E-03     0.4518512E+00
  0.1513561E-03     0.4724021E+00
  0.1560750E-03     0.4936635E+00
  0.1609410E-03     0.5156496E+00
  0.1659587E-03     0.5383746E+00
  0.1711328E-03     0.5618532E+00
  0.1764683E-03     0.5861004E+00
  0.1819701E-03     0.6111313E+00
  0.1876434E-03     0.6369616E+00
  0.1934936E-03     0.6636071E+00
  0.1995262E-03     0.6910846E+00
  0.2057469E-03     0.7194109E+00
  0.2121615E-03     0.7486038E+00
  0.2187762E-03     0.7786817E+00
  0.2255970E-03     0.8096635E+00
  0.2326305E-03     0.8415693E+00
  0.2398833E-03     0.8744197E+00
  0.2473622E-03     0.9082364E+00
  0.2550743E-03     0.9430422E+00
  0.2630268E-03     0.9788608E+00
  0.2712273E-03     0.1015717E+01
  0.2796834E-03     0.1053637E+01
  0.2884032E-03     0.1092649E+01
  0.2973948E-03     0.1132779E+01
  0.3066667E-03     0.1174060E+01
  0.3162278E-03     0.1216521E+01
  0.3260869E-03     0.1260196E+01
  0.3362534E-03     0.1305118E+01
  0.3467369E-03     0.1351323E+01
  0.3575472E-03     0.1398847E+01
  0.3686945E-03     0.1447730E+01
  0.3801894E-03     0.1498009E+01
  0.3920427E-03     0.1549726E+01
  0.4042655E-03     0.1602923E+01
  0.4168694E-03     0.1657642E+01
  0.4298662E-03     0.1713927E+01
  0.4432683E-03     0.1771823E+01
  0.4570882E-03     0.1831375E+01
  0.4713390E-03     0.1892628E+01
  0.4860340E-03     0.1955627E+01
  0.5011872E-03     0.2020419E+01
  0.5168129E-03     0.2087046E+01
  0.5329257E-03     0.2155554E+01
  0.5495409E-03     0.2225984E+01
  0.5666741E-03     0.2298376E+01
  0.5843414E-03     0.2372767E+01
  0.6025596E-03     0.2449192E+01
  0.6213458E-03     0.2527680E+01
  0.6407176E-03     0.2608257E+01
  0.6606934E-03     0.2690942E+01
  0.6812921E-03     0.2775748E+01
  0.7025329E-03     0.2862678E+01
  0.7244360E-03     0.2951730E+01
  0.7470219E-03     0.3042887E+01
  0.7703120E-03     0.3136123E+01
  0.7943282E-03     0.3231399E+01
  0.8190932E-03     0.3328657E+01
  0.8446303E-03     0.3427828E+01
  0.8709636E-03     0.3528819E+01
  0.8981179E-03     0.3631519E+01
  0.9261187E-03     0.3735794E+01
  0.9549926E-03     0.3841485E+01
  0.9847667E-03     0.3948406E+01
  0.1015469E-02     0.4056340E+01
  0.1047129E-02     0.4165041E+01
  0.1079775E-02     0.4275241E+01
  0.1113440E-02     0.4377241E+01
  0.1148154E-02     0.4479648E+01
  0.1183950E-02     0.4582614E+01
  0.1220862E-02     0.4686278E+01
  0.1258925E-02     0.4790772E+01
  0.1298175E-02     0.4896211E+01
  0.1338649E-02     0.5002697E+01
  0.1380384E-02     0.5110319E+01
  0.1423421E-02     0.5219145E+01
  0.1467799E-02     0.5329228E+01
  0.1513561E-02     0.5440603E+01
  0.1560750E-02     0.5553283E+01
  0.1609410E-02     0.5667261E+01
  0.1659587E-02     0.5782510E+01
  0.1711328E-02     0.5898980E+01
  0.1764683E-02     0.6016601E+01
  0.1819701E-02     0.6135277E+01
  0.1876434E-02     0.6254890E+01
  0.1934936E-02     0.6375302E+01
  0.1995262E-02     0.6496348E+01
  0.2057469E-02     0.6617843E+01
  0.2121615E-02     0.6739578E+01
  0.2187762E-02     0.6861324E+01
  0.2255970E-02     0.6982830E+01
  0.2326305E-02     0.7103828E+01
  0.2398833E-02     0.7224031E+01
  0.2473622E-02     0.7343135E+01
  0.2550743E-02     0.7460823E+01
  0.2630268E-02     0.7576766E+01
  0.2712273E-02     0.7690628E+01
  0.2796834E-02     0.7802064E+01
  0.2884032E-02     0.7910728E+01
  0.2973948E-02     0.8016276E+01
  0.3066667E-02     0.8118366E+01
  0.3162278E-02     0.8216666E+01
  0.3260869E-02     0.8310856E+01
  0.3362534E-02     0.8400634E+01
  0.3467369E-02     0.8485718E+01
  0.3575472E-02     0.8565851E+01
  0.3686945E-02     0.8640808E+01
  0.3801894E-02     0.8710396E+01
  0.3920427E-02     0.8774461E+01
  0.4042655E-02     0.8832891E+01
  0.4168694E-02     0.8885620E+01
  0.4298662E-02     0.8932631E+01
  0.4432683E-02     0.8973960E+01
  0.4570882E-02     0.9009699E+01
  0.4713390E-02     0.9039994E+01
  0.4860340E-02     0.9065054E+01
  0.5011872E-02     0.9085149E+01
  0.5168129E-02     0.9100610E+01
  0.5329257E-02     0.9111832E+01
  0.5495409E-02     0.9119276E+01
  0.5666741E-02     0.9123466E+01
  0.5843414E-02     0.9124992E+01
  0.6025596E-02     0.9124510E+01
  0.6213458E-02     0.9122743E+01
  0.6407176E-02     0.9120481E+01
  0.6606934E-02     0.9118584E+01
  0.6812921E-02     0.9117982E+01
  0.7025329E-02     0.9124992E+01
  0.7244360E-02     0.9124992E+01
  0.7470219E-02     0.9124992E+01
  0.7703120E-02     0.9124992E+01
  0.7943282E-02     0.9124992E+01
  0.8190932E-02     0.9124992E+01
  0.8446303E-02     0.9124992E+01
  0.8709636E-02     0.9124992E+01
  0.8981179E-02     0.9124992E+01
  0.9261187E-02     0.9124992E+01
  0.9549926E-02     0.9124992E+01
  0.9847667E-02     0.9124992E+01
