Time(s), Temperature(K)
       1.0,299.990143
       2.0,299.980194
       3.0,299.970154
       4.0,299.959991
       5.0,299.949738
       6.0,299.939392
       7.0,299.928955
       8.0,299.918427
       9.0,299.907776
      10.0,299.897034
      11.0,299.886200
      12.0,299.875275
      13.0,299.864258
      14.0,299.853119
      15.0,299.841888
      16.0,299.830566
      17.0,299.819153
      18.0,299.807648
      19.0,299.796051
      20.0,299.784332
      21.0,299.772522
      22.0,299.760620
      23.0,299.748627
      24.0,299.736542
      25.0,299.724335
      26.0,299.712036
      27.0,299.699646
      28.0,299.687164
      29.0,299.674591
      30.0,299.661896
      31.0,299.649109
      32.0,299.636230
      33.0,299.623260
      34.0,299.610199
      35.0,299.597015
      36.0,299.583740
      37.0,299.570374
      38.0,299.556915
      39.0,299.543365
      40.0,299.529694
      41.0,299.515930
      42.0,299.502075
      43.0,299.488129
      44.0,299.474091
      45.0,299.459930
      46.0,299.445679
      47.0,299.431335
      48.0,299.416901
      49.0,299.402374
      50.0,299.387726
      51.0,299.372986
      52.0,299.358154
      53.0,299.343231
      54.0,299.328217
      55.0,299.313080
      56.0,299.297852
      57.0,299.282532
      58.0,299.267120
      59.0,299.251617
      60.0,299.235992
      61.0,299.220276
      62.0,299.204468
      63.0,299.188568
      64.0,299.172577
      65.0,299.156464
      66.0,299.140259
      67.0,299.123962
      68.0,299.107574
      69.0,299.091095
      70.0,299.074493
      71.0,299.057800
      72.0,299.041016
      73.0,299.024139
      74.0,299.007172
      75.0,298.990082
      76.0,298.972900
      77.0,298.955627
      78.0,298.938263
      79.0,298.920807
      80.0,298.903229
      81.0,298.885559
      82.0,298.867798
      83.0,298.849945
      84.0,298.832001
      85.0,298.813934
      86.0,298.795776
      87.0,298.777527
      88.0,298.759186
      89.0,298.740753
      90.0,298.722198
      91.0,298.703552
      92.0,298.684814
      93.0,298.665985
      94.0,298.647064
      95.0,298.628021
      96.0,298.608887
      97.0,298.589661
      98.0,298.570343
      99.0,298.550934
     100.0,298.531433
     101.0,298.511810
     102.0,298.492096
     103.0,298.472290
     104.0,298.452393
     105.0,298.432404
     106.0,298.412292
     107.0,298.392090
     108.0,298.371796
     109.0,298.351410
     110.0,298.330933
     111.0,298.310333
     112.0,298.289642
     113.0,298.268860
     114.0,298.247986
     115.0,298.227020
     116.0,298.205933
     117.0,298.184753
     118.0,298.163483
     119.0,298.142120
     120.0,298.120667
     121.0,298.099091
     122.0,298.077423
     123.0,298.055664
     124.0,298.033813
     125.0,298.011871
     126.0,297.989807
     127.0,297.967651
     128.0,297.945404
     129.0,297.923065
     130.0,297.900635
     131.0,297.878082
     132.0,297.855438
     133.0,297.832703
     134.0,297.809875
     135.0,297.786957
     136.0,297.763916
     137.0,297.740784
     138.0,297.717560
     139.0,297.694244
     140.0,297.670837
     141.0,297.647308
     142.0,297.623688
     143.0,297.599976
     144.0,297.576172
     145.0,297.552277
     146.0,297.528259
     147.0,297.504150
     148.0,297.479950
     149.0,297.455658
     150.0,297.431274
     151.0,297.406769
     152.0,297.382172
     153.0,297.357483
     154.0,297.332703
     155.0,297.307831
     156.0,297.282837
     157.0,297.257751
     158.0,297.232574
     159.0,297.207306
     160.0,297.181946
     161.0,297.156464
     162.0,297.130890
     163.0,297.105225
     164.0,297.079468
     165.0,297.053619
     166.0,297.027649
     167.0,297.001587
     168.0,296.975433
     169.0,296.949188
     170.0,296.922852
     171.0,296.896393
     172.0,296.869843
     173.0,296.843201
     174.0,296.816467
     175.0,296.789642
     176.0,296.762726
     177.0,296.735687
     178.0,296.708557
     179.0,296.681335
     180.0,296.654022
     181.0,296.626617
     182.0,296.599091
     183.0,296.571472
     184.0,296.543762
     185.0,296.515961
     186.0,296.488068
     187.0,296.460052
     188.0,296.431946
     189.0,296.403748
     190.0,296.375458
     191.0,296.347076
     192.0,296.318573
     193.0,296.289978
     194.0,296.261292
     195.0,296.232513
     196.0,296.203644
     197.0,296.174652
     198.0,296.145569
     199.0,296.116394
     200.0,296.087128
     201.0,296.057770
     202.0,296.028290
     203.0,295.998718
     204.0,295.969055
     205.0,295.939301
     206.0,295.909454
     207.0,295.879486
     208.0,295.849426
     209.0,295.819275
     210.0,295.789032
     211.0,295.758698
     212.0,295.728241
     213.0,295.697693
     214.0,295.667053
     215.0,295.636322
     216.0,295.605499
     217.0,295.574554
     218.0,295.543518
     219.0,295.512390
     220.0,295.481171
     221.0,295.449860
     222.0,295.418427
     223.0,295.386902
     224.0,295.355286
     225.0,295.323578
     226.0,295.291779
     227.0,295.259857
     228.0,295.227844
     229.0,295.195740
     230.0,295.163544
     231.0,295.131256
     232.0,295.098846
     233.0,295.066345
     234.0,295.033752
     235.0,295.001068
     236.0,294.968292
     237.0,294.935394
     238.0,294.902405
     239.0,294.869324
     240.0,294.836151
     241.0,294.802887
     242.0,294.769501
     243.0,294.736023
     244.0,294.702454
     245.0,294.668793
     246.0,294.635040
     247.0,294.601166
     248.0,294.567200
     249.0,294.533142
     250.0,294.498993
     251.0,294.464752
     252.0,294.430389
     253.0,294.395935
     254.0,294.361389
     255.0,294.326752
     256.0,294.292023
     257.0,294.257202
     258.0,294.222260
     259.0,294.187225
     260.0,294.152100
     261.0,294.116882
     262.0,294.081573
     263.0,294.046143
     264.0,294.010620
     265.0,293.975006
     266.0,293.939301
     267.0,293.903503
     268.0,293.867584
     269.0,293.831573
     270.0,293.795471
     271.0,293.759277
     272.0,293.722992
     273.0,293.686584
     274.0,293.650085
     275.0,293.613495
     276.0,293.576813
     277.0,293.540039
     278.0,293.503143
     279.0,293.466156
     280.0,293.429077
     281.0,293.391907
     282.0,293.354645
     283.0,293.317261
     284.0,293.279785
     285.0,293.242218
     286.0,293.204559
     287.0,293.166809
     288.0,293.128937
     289.0,293.090973
     290.0,293.052917
     291.0,293.014771
     292.0,292.976532
     293.0,292.938171
     294.0,292.899719
     295.0,292.861176
     296.0,292.822540
     297.0,292.783813
     298.0,292.744965
     299.0,292.706024
     300.0,292.666992
     301.0,292.627869
     302.0,292.588654
     303.0,292.549316
     304.0,292.509888
     305.0,292.470367
     306.0,292.430756
     307.0,292.391052
     308.0,292.351227
     309.0,292.311310
     310.0,292.271301
     311.0,292.231201
     312.0,292.191010
     313.0,292.150696
     314.0,292.110291
     315.0,292.069794
     316.0,292.029205
     317.0,291.988525
     318.0,291.947723
     319.0,291.906830
     320.0,291.865845
     321.0,291.824768
     322.0,291.783600
     323.0,291.742310
     324.0,291.700928
     325.0,291.659454
     326.0,291.617889
     327.0,291.576233
     328.0,291.534454
     329.0,291.492584
     330.0,291.450623
     331.0,291.408569
     332.0,291.366425
     333.0,291.324188
     334.0,291.281830
     335.0,291.239380
     336.0,291.196838
     337.0,291.154205
     338.0,291.111481
     339.0,291.068634
     340.0,291.025696
     341.0,290.982666
     342.0,290.939545
     343.0,290.896332
     344.0,290.852997
     345.0,290.809570
     346.0,290.766052
     347.0,290.722443
     348.0,290.678741
     349.0,290.634918
     350.0,290.591003
     351.0,290.546997
     352.0,290.502899
     353.0,290.458710
     354.0,290.414398
     355.0,290.369995
     356.0,290.325500
     357.0,290.280914
     358.0,290.236237
     359.0,290.191437
     360.0,290.146545
     361.0,290.101562
     362.0,290.056488
     363.0,290.011322
     364.0,289.966034
     365.0,289.920654
     366.0,289.875183
     367.0,289.829620
     368.0,289.783966
     369.0,289.738190
     370.0,289.692322
     371.0,289.646362
     372.0,289.600311
     373.0,289.554169
     374.0,289.507904
     375.0,289.461548
     376.0,289.415100
     377.0,289.368561
     378.0,289.321930
     379.0,289.275177
     380.0,289.228333
     381.0,289.181396
     382.0,289.134369
     383.0,289.087250
     384.0,289.040009
     385.0,288.992676
     386.0,288.945251
     387.0,288.897736
     388.0,288.850128
     389.0,288.802399
     390.0,288.754578
     391.0,288.706665
     392.0,288.658661
     393.0,288.610565
     394.0,288.562347
     395.0,288.514038
     396.0,288.465637
     397.0,288.417145
     398.0,288.368561
     399.0,288.319855
     400.0,288.271057
     401.0,288.222260
     402.0,288.173462
     403.0,288.124664
     404.0,288.075867
     405.0,288.027069
     406.0,287.978271
     407.0,287.929474
     408.0,287.880676
     409.0,287.831879
     410.0,287.783081
     411.0,287.734283
     412.0,287.685486
     413.0,287.636688
     414.0,287.587891
     415.0,287.539093
     416.0,287.490295
     417.0,287.441498
     418.0,287.392700
     419.0,287.343903
     420.0,287.295105
     421.0,287.246307
     422.0,287.197510
     423.0,287.148712
     424.0,287.099915
     425.0,287.051117
     426.0,287.002319
     427.0,286.953522
     428.0,286.904724
     429.0,286.855927
     430.0,286.807129
     431.0,286.758331
     432.0,286.709534
     433.0,286.660736
     434.0,286.611938
     435.0,286.563141
     436.0,286.514343
     437.0,286.465546
     438.0,286.416748
     439.0,286.367950
     440.0,286.319153
     441.0,286.270355
     442.0,286.221558
     443.0,286.172760
     444.0,286.123962
     445.0,286.075165
     446.0,286.026367
     447.0,285.977570
     448.0,285.928772
     449.0,285.879974
     450.0,285.831177
     451.0,285.782379
     452.0,285.733582
     453.0,285.684784
     454.0,285.635986
     455.0,285.587189
     456.0,285.538391
     457.0,285.489594
     458.0,285.440796
     459.0,285.391998
     460.0,285.343201
     461.0,285.294403
     462.0,285.245605
     463.0,285.196808
     464.0,285.148010
     465.0,285.099213
     466.0,285.050415
     467.0,285.001617
     468.0,284.952820
     469.0,284.904022
     470.0,284.855225
     471.0,284.806427
     472.0,284.757629
     473.0,284.708832
     474.0,284.660034
     475.0,284.611237
     476.0,284.562439
     477.0,284.513641
     478.0,284.464844
     479.0,284.416046
     480.0,284.367249
     481.0,284.318451
     482.0,284.269653
     483.0,284.220856
     484.0,284.172058
     485.0,284.123260
     486.0,284.074463
     487.0,284.025665
     488.0,283.976868
     489.0,283.928070
     490.0,283.879272
     491.0,283.830475
     492.0,283.781677
     493.0,283.732880
     494.0,283.684082
     495.0,283.635284
     496.0,283.586487
     497.0,283.537689
     498.0,283.488892
     499.0,283.440094
     500.0,283.391296
     501.0,283.342499
     502.0,283.293701
     503.0,283.244904
     504.0,283.196106
     505.0,283.147308
     506.0,283.098511
     507.0,283.049713
     508.0,283.000916
     509.0,282.952118
     510.0,282.903320
     511.0,282.854523
     512.0,282.805725
     513.0,282.756927
     514.0,282.708130
     515.0,282.659332
     516.0,282.610535
     517.0,282.561737
     518.0,282.512939
     519.0,282.464142
     520.0,282.415344
     521.0,282.366547
     522.0,282.317749
     523.0,282.268951
     524.0,282.220154
     525.0,282.171356
     526.0,282.122559
     527.0,282.073761
     528.0,282.024963
     529.0,281.976166
     530.0,281.927368
     531.0,281.878571
     532.0,281.829773
     533.0,281.780975
     534.0,281.732178
     535.0,281.683380
     536.0,281.634583
     537.0,281.585785
     538.0,281.536987
     539.0,281.488190
     540.0,281.439392
     541.0,281.390594
     542.0,281.341797
     543.0,281.292999
     544.0,281.244202
     545.0,281.195404
     546.0,281.146606
     547.0,281.097809
     548.0,281.049011
     549.0,281.000214
     550.0,280.951416
     551.0,280.902618
     552.0,280.853821
     553.0,280.805023
     554.0,280.756226
     555.0,280.707428
     556.0,280.658630
     557.0,280.609833
     558.0,280.561035
     559.0,280.512238
     560.0,280.463440
     561.0,280.414642
     562.0,280.365845
     563.0,280.317047
     564.0,280.268250
     565.0,280.219452
     566.0,280.170654
     567.0,280.121857
     568.0,280.073059
     569.0,280.024261
     570.0,279.975464
     571.0,279.926666
     572.0,279.877869
     573.0,279.829071
     574.0,279.780273
     575.0,279.731476
     576.0,279.682678
     577.0,279.633881
     578.0,279.585083
     579.0,279.536285
     580.0,279.487488
     581.0,279.438690
     582.0,279.389893
     583.0,279.341095
     584.0,279.292297
     585.0,279.243500
     586.0,279.194702
     587.0,279.145905
     588.0,279.097107
     589.0,279.048309
     590.0,278.999512
     591.0,278.950714
     592.0,278.901917
     593.0,278.853119
     594.0,278.804321
     595.0,278.755524
     596.0,278.706726
     597.0,278.657928
     598.0,278.609131
     599.0,278.560333
     600.0,278.511536
     601.0,278.462738
     602.0,278.413940
     603.0,278.365143
     604.0,278.316345
     605.0,278.267548
     606.0,278.218750
     607.0,278.169952
     608.0,278.121155
     609.0,278.072357
     610.0,278.023560
     611.0,277.974762
     612.0,277.925964
     613.0,277.877167
     614.0,277.828369
     615.0,277.779572
     616.0,277.730774
     617.0,277.681976
     618.0,277.633179
     619.0,277.584381
     620.0,277.535583
     621.0,277.486786
     622.0,277.437988
     623.0,277.389191
     624.0,277.340393
     625.0,277.291595
     626.0,277.242798
     627.0,277.194000
     628.0,277.145203
     629.0,277.096405
     630.0,277.047607
     631.0,276.998810
     632.0,276.950012
     633.0,276.901215
     634.0,276.852417
     635.0,276.803619
     636.0,276.754822
     637.0,276.706024
     638.0,276.657227
     639.0,276.608429
     640.0,276.559631
     641.0,276.510834
     642.0,276.462036
     643.0,276.413239
     644.0,276.364441
     645.0,276.315643
     646.0,276.266846
     647.0,276.218048
     648.0,276.169250
     649.0,276.120453
     650.0,276.071655
     651.0,276.022858
     652.0,275.974060
     653.0,275.925262
     654.0,275.876465
     655.0,275.827667
     656.0,275.778870
     657.0,275.730072
     658.0,275.681274
     659.0,275.632477
     660.0,275.583679
     661.0,275.534882
     662.0,275.486084
     663.0,275.437286
     664.0,275.388489
     665.0,275.339691
     666.0,275.290894
     667.0,275.242096
     668.0,275.193298
     669.0,275.144501
     670.0,275.095703
     671.0,275.046906
     672.0,274.998108
     673.0,274.949310
     674.0,274.900513
     675.0,274.851715
     676.0,274.802917
     677.0,274.754120
     678.0,274.705322
     679.0,274.656525
     680.0,274.607727
     681.0,274.558929
     682.0,274.510132
     683.0,274.461334
     684.0,274.412537
     685.0,274.363739
     686.0,274.314941
     687.0,274.266144
     688.0,274.217346
     689.0,274.168549
     690.0,274.119751
     691.0,274.070953
     692.0,274.022156
     693.0,273.973358
     694.0,273.924561
     695.0,273.875763
     696.0,273.826965
     697.0,273.778168
     698.0,273.729370
     699.0,273.680573
     700.0,273.631775
     701.0,273.582977
     702.0,273.534180
     703.0,273.485382
     704.0,273.436584
     705.0,273.387787
     706.0,273.338989
     707.0,273.290192
     708.0,273.241394
     709.0,273.192596
     710.0,273.143799
     711.0,273.095001
     712.0,273.046204
     713.0,272.997406
     714.0,272.948608
     715.0,272.899811
     716.0,272.851013
     717.0,272.802216
     718.0,272.753418
     719.0,272.704620
     720.0,272.655823
     721.0,272.607025
     722.0,272.558228
     723.0,272.509430
     724.0,272.460632
     725.0,272.411835
     726.0,272.363037
     727.0,272.314240
     728.0,272.265442
     729.0,272.216644
     730.0,272.167847
     731.0,272.119049
     732.0,272.070251
     733.0,272.021454
     734.0,271.972656
     735.0,271.923859
     736.0,271.875061
     737.0,271.826263
     738.0,271.777466
     739.0,271.728668
     740.0,271.679871
     741.0,271.631073
     742.0,271.582275
     743.0,271.533478
     744.0,271.484680
     745.0,271.435883
     746.0,271.387085
     747.0,271.338287
     748.0,271.289490
     749.0,271.240692
     750.0,271.191895
     751.0,271.143097
     752.0,271.094299
     753.0,271.045502
     754.0,270.996704
     755.0,270.947906
     756.0,270.899109
     757.0,270.850311
     758.0,270.801514
     759.0,270.752716
     760.0,270.703918
     761.0,270.655121
     762.0,270.606323
     763.0,270.557526
     764.0,270.508728
     765.0,270.459930
     766.0,270.411133
     767.0,270.362335
     768.0,270.313538
     769.0,270.264740
     770.0,270.215942
     771.0,270.167145
     772.0,270.118347
     773.0,270.069550
     774.0,270.020752
     775.0,269.971954
     776.0,269.923157
     777.0,269.874359
     778.0,269.825562
     779.0,269.776764
     780.0,269.727966
     781.0,269.679169
     782.0,269.630371
     783.0,269.581573
     784.0,269.532776
     785.0,269.483978
     786.0,269.435181
     787.0,269.386383
     788.0,269.337585
     789.0,269.288788
     790.0,269.239990
     791.0,269.191193
     792.0,269.142395
     793.0,269.093597
     794.0,269.044800
     795.0,268.996002
     796.0,268.947205
     797.0,268.898407
     798.0,268.849609
     799.0,268.800812
     800.0,268.752014
     801.0,268.703217
     802.0,268.654419
     803.0,268.605621
     804.0,268.556824
     805.0,268.508026
     806.0,268.459229
     807.0,268.410431
     808.0,268.361633
     809.0,268.312836
     810.0,268.264038
     811.0,268.215240
     812.0,268.166443
     813.0,268.117645
     814.0,268.068848
     815.0,268.020050
     816.0,267.971252
     817.0,267.922455
     818.0,267.873657
     819.0,267.824860
     820.0,267.776062
     821.0,267.727264
     822.0,267.678467
     823.0,267.629669
     824.0,267.580872
     825.0,267.532074
     826.0,267.483276
     827.0,267.434479
     828.0,267.385681
     829.0,267.336884
     830.0,267.288086
     831.0,267.239288
     832.0,267.190491
     833.0,267.141693
     834.0,267.092896
     835.0,267.044098
     836.0,266.995300
     837.0,266.946503
     838.0,266.897705
     839.0,266.848907
     840.0,266.800110
     841.0,266.751312
     842.0,266.702515
     843.0,266.653717
     844.0,266.604919
     845.0,266.556122
     846.0,266.507324
     847.0,266.458527
     848.0,266.409729
     849.0,266.360931
     850.0,266.312134
     851.0,266.263336
     852.0,266.214539
     853.0,266.165741
     854.0,266.116943
     855.0,266.068146
     856.0,266.019348
     857.0,265.970551
     858.0,265.921753
     859.0,265.872955
     860.0,265.824158
     861.0,265.775360
     862.0,265.726562
     863.0,265.677765
     864.0,265.628967
     865.0,265.580170
     866.0,265.531372
     867.0,265.482574
     868.0,265.433777
     869.0,265.384979
     870.0,265.336182
     871.0,265.287384
     872.0,265.238586
     873.0,265.189789
     874.0,265.140991
     875.0,265.092194
     876.0,265.043396
     877.0,264.994598
     878.0,264.945801
     879.0,264.897003
     880.0,264.848206
     881.0,264.799408
     882.0,264.750610
     883.0,264.701813
     884.0,264.653015
     885.0,264.604218
     886.0,264.555420
     887.0,264.506622
     888.0,264.457825
     889.0,264.409027
     890.0,264.360229
     891.0,264.311432
     892.0,264.262634
     893.0,264.213837
     894.0,264.165039
     895.0,264.116241
     896.0,264.067444
     897.0,264.018646
     898.0,263.969849
     899.0,263.921051
     900.0,263.872253
     901.0,263.823456
     902.0,263.774658
     903.0,263.725861
     904.0,263.677063
     905.0,263.628265
     906.0,263.579468
     907.0,263.530670
     908.0,263.481873
     909.0,263.433075
     910.0,263.384277
     911.0,263.335480
     912.0,263.286682
     913.0,263.237885
     914.0,263.189087
     915.0,263.140289
     916.0,263.091492
     917.0,263.042694
     918.0,262.993896
     919.0,262.945099
     920.0,262.896301
     921.0,262.847504
     922.0,262.798706
     923.0,262.749908
     924.0,262.701111
     925.0,262.652313
     926.0,262.603516
     927.0,262.554718
     928.0,262.505920
     929.0,262.457123
     930.0,262.408325
     931.0,262.359528
     932.0,262.310730
     933.0,262.261932
     934.0,262.213135
     935.0,262.164337
     936.0,262.115540
     937.0,262.066742
     938.0,262.017944
     939.0,261.969147
     940.0,261.920349
     941.0,261.871552
     942.0,261.822754
     943.0,261.773956
     944.0,261.725159
     945.0,261.676361
     946.0,261.627563
     947.0,261.578766
     948.0,261.529968
     949.0,261.481171
     950.0,261.432373
     951.0,261.383575
     952.0,261.334778
     953.0,261.285980
     954.0,261.237183
     955.0,261.188385
     956.0,261.139587
     957.0,261.090790
     958.0,261.041992
     959.0,260.993195
     960.0,260.944397
     961.0,260.895599
     962.0,260.846802
     963.0,260.798004
     964.0,260.749207
